Np,Nc,Ts_us,Q,S,R,Ei_Arms,Ev_Vrms,Edc_V,THD,Switches_per_cycle,Loss_sw_pu
8,4,160,9,6,1,0.1,0.7101040103148987,0.26365313952199876,3.3826246251355836,10,0.04637361814061325
13,1,177,3,5,8,0.1,1.8791114178522474,0.6885829401997102,4.178431656127058,19,0.06696877116418835
3,1,28,9,4,9,0.1,0.5237697137634184,0.7542213746715593,3.618785264965387,4,0.02744723709839614
13,1,100,4,3,1,0.1,1.5460820004092881,0.9782581824915302,2.897087592255229,21,0.08288616629328686
10,3,43,5,6,4,0.1,0.9180058045067244,0.6999975637416305,2.461392654711748,14,0.040469925915285095
4,2,97,4,1,9,0.11102918379485907,1.4014485957008571,2.776122862397418,4.571079391862376,8,0.04046294467494127
10,4,65,5,1,3,0.1,1.1630062821538094,3.1048590998993197,2.719979869959831,17,0.06108808527903914
3,1,114,9,3,4,0.1,0.8113684401263997,0.9929843226681973,4.488139807549483,5,0.03547448576726231
9,3,91,8,1,7,0.1,0.6047798784175996,2.969379598737163,2.589483817410338,10,0.04762011180312025
3,4,81,9,6,8,0.1,0.6405207636738315,0.4225947811253822,4.154226024150406,4,0.013952322710102045
11,4,163,9,3,8,0.1,0.764826103763246,1.0024545421981566,2.716353031819219,9,0.030295811709109038
11,3,65,8,1,4,0.1,0.9157957118822027,3.1145302422698182,1.9055558653460984,14,0.0461413209062606
5,1,103,1,7,1,0.21111538319604012,5.026816476595645,0.32806488572777603,7.5499247325905054,26,0.11699784714375301
12,1,128,4,9,2,0.1,1.5533241391020955,0.2682978311034848,3.0408452756598385,16,0.07022562797129546
9,4,73,4,3,5,0.1,1.4368900537936826,0.9975383044124222,2.713856565055057,17,0.08767101749254735
3,3,178,2,5,1,0.29084235881245724,2.9744171309923884,0.5795519435846908,6.924497774495162,17,0.05383354998324957
9,2,68,3,7,1,0.1,2.0238581540831713,0.4123469659643572,3.2937911871108474,19,0.07400467084666028
10,3,41,4,9,9,0.1,1.4135745966431117,0.40447494803857065,2.4257380205402184,13,0.05622167035535684
