Np,Nc,Ts_us,Q,S,R,Ei_Arms,Ev_Vrms,Edc_V,THD,Switches_per_cycle,Loss_sw_pu
8,4,20,4,2,1,0.1,1.23273351335421,1.4441319235526,2.48567604516995,15,0.0658644262166707
5,5,24,7,5,6,0.1,0.63527857502186,0.717517126546302,2.96011775123567,9,0.0420365844582582
14,5,35,1,2,9,0.1,5.04074650008481,1.62708484341889,5.93463043968621,48,0.188777902819881
11,5,23,8,10,8,0.1,0.731334661284576,0.24647520322241,1.55125665017417,11,0.0335565650548266
6,1,23,7,3,3,0.1,0.612656479084704,1.02588999571604,1.87388085713138,11,0.0482586431913121
4,3,145,5,1,6,0.1,1.29635612193025,3.04334300651116,4.53457207289754,12,0.0375020676552493
4,5,91,2,10,4,0.232436524301704,2.71972156599585,0.44523916455879,5.49938901463579,15,0.0537632259070384
6,5,97,10,7,7,0.1,0.752136555534362,0.415680828880365,2.88990506017781,8,0.0211456961065368
14,3,20,7,4,6,0.1,0.711806040941593,0.918624315536029,1.55881226268318,11,0.0633021303957797
11,5,51,2,10,7,0.1,2.68148650995676,0.351753510822858,3.83619562314636,24,0.0888982801714728
3,1,25,3,9,6,0.182400237371442,1.795647171479,0.253210942739412,4.51820248145315,11,0.0570961815303393
10,1,164,3,9,4,0.123983833813824,2.06457546554248,0.349243261143563,3.9175705649773,16,0.0435076100712789
3,1,60,8,6,1,0.1,0.866525791551081,0.515627537534167,3.8116152042337,10,0.044481022747876
5,3,195,9,3,5,0.1,1.10847676158604,0.859002496578691,3.75609903500506,8,0.0313991175850359
10,3,77,10,6,4,0.1,0.781062430143441,0.549912992716397,1.99059500279669,7,0.0253310566814513
11,2,156,1,3,9,0.1,5.35868992248141,1.01121072588382,7.58658160898721,37,0.13081067972866
12,4,184,10,1,3,0.1,0.990217693430612,3.23707322406974,3.02958384273933,13,0.0595207982360329
8,3,129,6,10,10,0.1,1.13853268199462,0.216089317153836,3.01860667447148,6,0.0240424800135077
3,5,169,1,2,4,0.409862665120579,5.43684351497452,1.46392472128232,9.58319855712485,18,0.0801912144590783
13,5,103,6,8,3,0.1,1.06347897055767,0.101481965875276,2.51742076388745,15,0.074545757259713
7,5,124,2,8,7,0.1,2.73866877757229,0.423980648471551,5.16314340515454,16,0.070758164847486
10,5,124,7,3,6,0.1,1.00026051151496,1.10889392992919,2.95325754674538,12,0.0440081221527888
11,3,89,5,5,4,0.1,1.16505793281965,0.732768323182593,2.75143002868816,13,0.0515078155933618
7,4,179,10,7,3,0.1,0.97232764896841,0.441608215391531,3.55014970719542,11,0.04664541354555
9,4,122,5,4,1,0.1,1.15374117452342,0.804784124208126,2.96184733300028,18,0.077058231347983
11,3,49,5,4,3,0.1,1.0655679044399,0.884109638179734,2.46000537808469,14,0.0448363681603404
5,3,151,3,3,9,0.1,2.00891044887692,0.934744757832465,4.38512848786668,11,0.0435267999363033
4,4,118,7,2,8,0.1,0.960006305391025,1.61148054970384,3.66287320074579,7,0.0332258496122016
13,3,176,10,9,9,0.1,0.911652904269875,0.416942505505008,2.93628319439855,12,0.0322848605444327
13,4,67,3,7,4,0.1,1.78185502489178,0.460654340923179,3.23611088432154,19,0.0667155581904416
14,3,196,7,10,6,0.1,0.999248917006482,0.229029789257115,2.94308662470298,11,0.0567219232443648
3,2,176,7,7,2,0.1,1.08488805310447,0.576970882581881,5.0050585439134,9,0.027405055968924
12,3,30,6,3,8,0.1,0.797787642201928,1.01355604288026,1.92759375630379,11,0.0546140975892445
